raceId,circuitId,latitude,longitude,avg_wind_speed_100m,max_wind_speed_100m,avg_temperature_2m,max_temperature_2m,min_temperature_2m,avg_humidity,total_precipitation,avg_pressure_msl,avg_surface_pressure
999,10,49.3278,8.56583,9.29763126373291,18.837324142456055,21.58300018310547,26.632999420166016,17.932998657226562,77.8546371459961,2.0,1013.7166137695312,1001.4668579101562
1000,11,47.5789,19.2486,14.04302978515625,24.503808975219727,27.111833572387695,32.84100341796875,20.44099998474121,55.56846237182617,0.0,1011.324951171875,984.1472778320312
1001,13,50.4372,5.97139,22.08794403076172,45.742671966552734,12.460749626159668,17.317001342773438,6.566999912261963,66.73644256591797,4.099999904632568,1015.9208984375,969.6945190429688
1002,14,45.6156,9.28111,4.456070423126221,8.43506908416748,17.49741554260254,20.036998748779297,14.53700065612793,88.1100082397461,2.0999999046325684,1016.4707641601562,994.999755859375
1003,15,1.2914,103.864,21.304597854614258,27.047956466674805,27.620248794555664,29.338998794555664,26.18899917602539,75.24971008300781,1.2000000476837158,1008.32080078125,1007.5194702148438
1004,71,43.4057,39.9578,7.647796154022217,18.356470108032227,20.127500534057617,23.690000534057617,16.540000915527344,73.33448028564453,0.0,1017.0625,1016.9440307617188
1005,22,34.8431,136.541,21.8337345123291,33.04360580444336,21.82841682434082,26.368000030517578,18.168001174926758,72.98963165283203,0.0,1012.745849609375,1008.533447265625
1006,69,30.1328,-97.6411,28.455322265625,34.942264556884766,17.5052490234375,21.236499786376953,13.58650016784668,62.9455451965332,0.0,1024.19580078125,1005.8541870117188
1007,32,19.4042,-99.0907,13.662723541259766,22.862123489379883,15.129249572753906,20.148000717163086,12.197999954223633,76.95433807373047,1.7999999523162842,1020.5166015625,788.1997680664062
1008,18,-23.7036,-46.6997,12.941044807434082,25.2334041595459,20.251832962036133,25.0935001373291,16.993499755859375,89.63224029541016,1.6000001430511475,1012.9791870117188,925.8526000976562
1009,24,24.4672,54.6031,31.676481246948242,41.55622482299805,26.93199920654297,32.81949996948242,23.469501495361328,61.13844680786133,0.6000000238418579,1014.9833374023438,1014.1747436523438
1010,1,-37.8497,144.968,15.571064949035645,25.455842971801758,19.75433349609375,25.10849952697754,15.008500099182129,80.1465072631836,0.0,1016.6458129882812,1016.40869140625
1011,3,26.0325,50.5106,41.58790588378906,55.623199462890625,25.646249771118164,29.864999771118164,20.915000915527344,56.82944869995117,0.0,1007.6624145507812,1006.7412109375
1012,17,31.3389,121.22,17.931676864624023,28.829233169555664,12.85808277130127,18.993499755859375,6.893500328063965,80.96575927734375,0.0,1020.6458129882812,1020.158203125
1013,73,40.3725,49.8533,29.634206771850586,39.125892639160156,14.858500480651855,17.93349838256836,10.983500480651855,82.36967468261719,0.0,1012.5416870117188,1014.7063598632812
1014,4,41.57,2.26111,11.11422061920166,28.35785484313965,15.784416198730469,20.89900016784668,11.64900016784668,69.96161651611328,0.0,1022.5042114257812,1007.9974975585938
1015,6,43.7347,7.42056,5.641557216644287,8.70723819732666,18.606332778930664,21.49799919128418,14.14799976348877,76.72051239013672,1.100000023841858,1011.5750122070312,1009.6818237304688
1016,7,45.5,-73.5228,16.38981819152832,26.366159439086914,19.445749282836914,26.802000045776367,12.35200023651123,54.016143798828125,0.0,1024.2542724609375,1022.9392700195312
1017,34,43.2506,5.79167,12.60945987701416,17.283748626708984,22.47875213623047,28.110000610351562,17.15999984741211,53.593048095703125,0.0,1015.3583374023438,966.7971801757812
1018,70,47.2197,14.7647,8.939223289489746,17.163354873657227,23.561166763305664,33.80699920654297,12.907000541687012,58.2216911315918,0.0,1020.0042114257812,943.5851440429688
1019,9,52.0786,-1.01694,17.02150535583496,23.224882125854492,16.047500610351562,19.72249984741211,12.322500228881836,77.0712890625,1.100000023841858,1023.42919921875,1005.24658203125
1020,10,49.3278,8.56583,14.166243553161621,27.333934783935547,21.091331481933594,24.882999420166016,19.382999420166016,82.28935241699219,11.5,1002.83740234375,990.6997680664062
1021,11,47.5789,19.2486,13.609021186828613,28.58544921875,18.838916778564453,22.69099998474121,14.840999603271484,65.31987762451172,0.10000000149011612,1014.0582885742188,986.0505981445312
1022,13,50.4372,5.97139,18.902910232543945,23.424909591674805,14.891999244689941,17.617000579833984,11.766999244689941,72.57621002197266,0.9000000357627869,1016.375,970.5138549804688
1023,14,45.6156,9.28111,14.511120796203613,37.03803634643555,15.695332527160645,19.786998748779297,13.03700065612793,79.36408996582031,68.0,1011.7666625976562,990.2626953125
1024,15,1.2914,103.864,18.98101043701172,29.257614135742188,29.216081619262695,32.888999938964844,27.038999557495117,70.69416046142578,0.0,1010.6458129882812,1009.846923828125
1025,71,43.4057,39.9578,7.245872974395752,16.919998168945312,17.59833335876465,20.09000015258789,14.190000534057617,86.06365966796875,0.800000011920929,1017.1041870117188,1016.984619140625
1026,22,34.8431,136.541,24.901681900024414,51.48125457763672,18.728416442871094,21.968000411987305,16.468000411987305,75.59711456298828,5.300000190734863,1016.3500366210938,1012.0779418945312
1027,32,19.4042,-99.0907,5.712883472442627,14.512063980102539,16.220916748046875,20.847999572753906,13.197999954223633,82.54090118408203,8.0,1015.1875,784.8330078125
1028,69,30.1328,-97.6411,16.683195114135742,24.56983184814453,12.407333374023438,19.886499404907227,5.636499881744385,56.44313430786133,0.0,1024.245849609375,1005.5750122070312
1029,18,-23.7036,-46.6997,22.927141189575195,32.53571319580078,16.8122501373291,20.693500518798828,13.993499755859375,79.86934661865234,0.0,1013.9833984375,925.7922973632812
1030,24,24.4672,54.6031,13.684021949768066,23.166217803955078,23.554916381835938,27.769500732421875,18.769500732421875,73.21807098388672,0.0,1016.7166137695312,1015.8974609375
1031,70,47.2197,14.7647,5.7262864112854,14.68958854675293,19.60283088684082,26.55699920654297,11.307000160217285,68.64488983154297,0.0,1017.7875366210938,940.5703125
1032,70,47.2197,14.7647,9.40710735321045,17.46278190612793,14.469498634338379,19.606998443603516,8.857000350952148,67.61834716796875,0.0,1025.066650390625,945.9895629882812
1033,11,47.5789,19.2486,13.963783264160156,21.892026901245117,16.986833572387695,20.990999221801758,14.340999603271484,87.78852081298828,6.600000381469727,1014.745849609375,986.5447387695312
1034,9,52.0786,-1.01694,21.123098373413086,26.141551971435547,16.551666259765625,20.72249984741211,11.022500038146973,60.793609619140625,0.10000000149011612,1015.9332885742188,997.9137573242188
